iter	Passed	Remaining
0	3	639
1	6	685
2	9	651
3	12	616
4	15	588
5	18	584
6	22	607
7	25	601
8	28	604
9	32	614
10	36	627
11	39	618
12	42	616
13	46	612
14	50	620
15	53	619
16	56	613
17	60	608
18	64	613
19	68	612
20	71	608
21	74	601
22	77	597
23	81	598
24	84	592
25	88	588
26	92	591
27	96	592
28	99	587
29	102	581
30	105	575
31	109	574
32	112	569
33	115	565
34	118	559
35	123	560
36	126	556
37	129	552
38	132	546
39	135	541
40	141	549
41	144	544
42	147	539
43	150	534
44	156	538
45	159	533
46	162	528
47	164	522
48	167	516
49	173	520
50	176	517
51	180	512
52	183	507
53	187	506
54	190	501
55	193	498
56	197	495
57	202	494
58	205	490
59	208	486
60	211	481
61	214	477
62	218	474
63	221	470
64	224	465
65	227	462
66	231	458
67	234	455
68	237	451
69	240	446
70	243	442
71	248	441
72	251	437
73	254	433
74	257	428
75	260	424
76	264	423
77	268	419
78	271	415
79	273	410
80	278	409
81	282	406
82	285	401
83	287	397
84	291	394
85	295	391
86	297	387
87	300	382
88	303	378
89	307	375
90	310	371
91	312	367
92	315	363
93	319	360
94	323	357
95	327	354
96	330	351
97	334	348
98	338	344
99	341	341
100	344	337
101	346	333
102	350	330
103	354	327
104	357	323
105	360	319
106	363	315
107	367	313
108	371	309
109	374	306
110	376	302
111	380	299
112	383	295
113	386	291
114	389	288
115	392	284
116	395	280
117	399	277
118	402	274
119	405	270
120	408	266
121	411	263
122	415	259
123	418	256
124	421	252
125	425	249
126	429	247
127	432	243
128	435	239
129	438	236
130	441	232
131	445	229
132	449	226
133	452	222
134	455	219
135	458	215
136	461	212
137	464	208
138	468	205
139	470	201
140	473	198
141	476	194
142	480	191
143	483	188
144	486	184
145	489	180
146	493	178
147	496	174
148	499	171
149	502	167
150	505	164
151	508	160
152	513	157
153	516	154
154	519	150
155	521	147
156	524	143
157	528	140
158	532	137
159	534	133
160	537	130
161	541	126
162	545	123
163	548	120
164	551	116
165	554	113
166	557	110
167	561	106
168	564	103
169	567	100
170	570	96
171	573	93
172	577	90
173	580	86
174	583	83
175	586	79
176	590	76
177	594	73
178	596	70
179	599	66
180	602	63
181	606	59
182	609	56
183	612	53
184	615	49
185	620	46
186	623	43
187	627	40
188	630	36
189	632	33
190	636	30
191	640	26
192	643	23
193	646	19
194	649	16
195	651	13
196	655	9
197	658	6
198	661	3
199	664	0
