ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
Support Vector Machine 99,PCA,93.333%,82.617%,79.167%,95.714%,92.591%
Gradient Boosting 90,RFECV,92.000%,80.517%,78.017%,87.343%,92.410%
Gradient Boosting 95,RFECV,92.000%,80.517%,78.017%,87.343%,92.410%
Gradient Boosting 99,RFECV,92.000%,80.517%,78.017%,87.343%,92.410%
Gradient Boosting 90,Original Data,90.667%,78.630%,76.868%,82.302%,90.405%
Gradient Boosting 90,Normalized Data,90.667%,78.630%,76.868%,82.302%,90.405%
Gradient Boosting 95,Original Data,90.667%,78.630%,76.868%,82.302%,90.405%
Gradient Boosting 95,Normalized Data,90.667%,78.630%,76.868%,82.302%,90.405%
Gradient Boosting 99,Original Data,90.667%,78.630%,76.868%,82.302%,90.405%
Gradient Boosting 99,Normalized Data,90.667%,78.630%,76.868%,82.302%,90.405%
Support Vector Machine 90,Normalized Data,92.000%,77.377%,75.000%,95.013%,92.394%
Support Vector Machine 95,Normalized Data,92.000%,77.377%,75.000%,95.013%,92.394%
Support Vector Machine 99,Normalized Data,92.000%,77.377%,75.000%,95.013%,92.394%
Extra Trees 90,Original Data,92.000%,77.377%,75.000%,95.013%,90.461%
Extra Trees 90,Normalized Data,92.000%,77.377%,75.000%,95.013%,90.461%
Extra Trees 90,RFECV,92.000%,77.377%,75.000%,95.013%,92.659%
Extra Trees 95,Original Data,92.000%,77.377%,75.000%,95.013%,90.461%
Extra Trees 95,Normalized Data,92.000%,77.377%,75.000%,95.013%,90.461%
Extra Trees 95,RFECV,92.000%,77.377%,75.000%,95.013%,92.659%
Extra Trees 99,Original Data,92.000%,77.377%,75.000%,95.013%,90.461%
Extra Trees 99,Normalized Data,92.000%,77.377%,75.000%,95.013%,90.461%
Extra Trees 99,RFECV,92.000%,77.377%,75.000%,95.013%,92.659%
Gradient Boosting 99,PCA,92.000%,77.222%,75.000%,94.675%,89.693%
Random Forest 90,Original Data,90.667%,75.581%,73.851%,83.864%,91.755%
Random Forest 90,Normalized Data,90.667%,75.581%,73.851%,83.864%,92.103%
Random Forest 90,SelectKBest,90.667%,75.581%,73.851%,83.864%,87.045%
Random Forest 90,RFECV,90.667%,75.581%,73.851%,83.864%,90.044%
Random Forest 95,Original Data,90.667%,75.581%,73.851%,83.864%,91.755%
Random Forest 95,Normalized Data,90.667%,75.581%,73.851%,83.864%,92.103%
Random Forest 95,SelectKBest,90.667%,75.581%,73.851%,83.864%,87.045%
Random Forest 95,RFECV,90.667%,75.581%,73.851%,83.864%,90.044%
